cluster_type,cluster_id,size,addresses,pattern,risk_score
temporal,10,19,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x99c47bcdbd65654135580b53df5019886d614557,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,190
temporal,11,19,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x24b87355015378d5b897033314c506e6447c55fc,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x99c47bcdbd65654135580b53df5019886d614557,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,190
temporal,12,18,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x24b87355015378d5b897033314c506e6447c55fc,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,180
temporal,13,15,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x24b87355015378d5b897033314c506e6447c55fc,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,150
temporal,14,4,"0xfcb278a2550c872bfc04e075622aaa5d7e707221,0x8e13064caefa13faf2c38d6c4cb1149e84e45009,0xb898571dd99a2f3a422baad3ca945e6e90a51a29,0xb5aeadf5bdd7d4b955cc4c541f3d5ac1aef34983",,40
temporal,15,7,"0x338968c09457643223cf53fd6aa5a62e9269219e,0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x0b29ded5e84904dc9757a9816b963727bffaefec,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8",,70
temporal,16,8,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xb9a8eaded121572cd73d0772ac53b23508b27664,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351",,80
temporal,17,7,"0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xeda87d8816ee3c93201e87589710eddf02e6db20",,70
temporal,18,8,"0x338968c09457643223cf53fd6aa5a62e9269219e,0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x0b29ded5e84904dc9757a9816b963727bffaefec,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xb9a8eaded121572cd73d0772ac53b23508b27664,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8",,80
temporal,19,13,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351,0xeda87d8816ee3c93201e87589710eddf02e6db20",,130
