cluster_type,cluster_id,size,addresses,pattern,risk_score
temporal,49,8,"0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0xeda87d8816ee3c93201e87589710eddf02e6db20",,80
temporal,50,4,"0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x338968c09457643223cf53fd6aa5a62e9269219e,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4",,40
temporal,51,2,"0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,20
temporal,52,5,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x193ee9eea53677fd05db368b341ae038479abaf8,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49",,50
temporal,53,4,"0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0xd5ffcd736d5831252de512dfb682096971989bd1",,40
temporal,54,3,"0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,30
temporal,55,4,"0x3b780b9012858d85503232bb4c4379cfd8541c61,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x45559492d0431b6796251844ed36204bd9aa7dd2,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a",,40
temporal,56,4,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226",,40
temporal,57,4,"0x338968c09457643223cf53fd6aa5a62e9269219e,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0x0b29ded5e84904dc9757a9816b963727bffaefec,0x156b9875ec5d4877b6ef85244b1dbf387e827e55",,40
temporal,58,15,"0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351,0xeda87d8816ee3c93201e87589710eddf02e6db20",,150
temporal,59,4,"0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1",,40
temporal,60,5,"0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7",,50
temporal,61,7,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x193ee9eea53677fd05db368b341ae038479abaf8,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49",,70
temporal,62,2,"0x45559492d0431b6796251844ed36204bd9aa7dd2,0x9b9097a0a82d223cb62cc458a8697ff138b57dde",,20
temporal,63,3,"0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,30
temporal,64,3,"0x3b780b9012858d85503232bb4c4379cfd8541c61,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,30
temporal,65,5,"0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x45559492d0431b6796251844ed36204bd9aa7dd2,0x193ee9eea53677fd05db368b341ae038479abaf8,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e",,50
temporal,66,4,"0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,40
temporal,67,9,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x3b780b9012858d85503232bb4c4379cfd8541c61,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49",,90
temporal,68,4,"0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0xd5ffcd736d5831252de512dfb682096971989bd1",,40
temporal,69,13,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x3b780b9012858d85503232bb4c4379cfd8541c61,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,130
temporal,70,6,"0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0x193ee9eea53677fd05db368b341ae038479abaf8,0x45559492d0431b6796251844ed36204bd9aa7dd2,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e",,60
temporal,71,3,"0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0xd5ffcd736d5831252de512dfb682096971989bd1,0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226",,30
temporal,72,8,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x193ee9eea53677fd05db368b341ae038479abaf8,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,80
temporal,73,11,"0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x45559492d0431b6796251844ed36204bd9aa7dd2,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0xd5ffcd736d5831252de512dfb682096971989bd1",,110
temporal,74,3,"0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0x3b780b9012858d85503232bb4c4379cfd8541c61,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,30
temporal,75,8,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac,0x3b780b9012858d85503232bb4c4379cfd8541c61,0x45559492d0431b6796251844ed36204bd9aa7dd2,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,80
temporal,76,13,"0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0x193ee9eea53677fd05db368b341ae038479abaf8,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0xd5ffcd736d5831252de512dfb682096971989bd1,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,130
temporal,77,6,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2",,60
temporal,78,8,"0x0b29ded5e84904dc9757a9816b963727bffaefec,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0xeda87d8816ee3c93201e87589710eddf02e6db20",,80
temporal,79,7,"0x338968c09457643223cf53fd6aa5a62e9269219e,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0x99dd5760049ac433450dfb620f3d9100e2042351",,70
temporal,80,5,"0x338968c09457643223cf53fd6aa5a62e9269219e,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0x99dd5760049ac433450dfb620f3d9100e2042351",,50
temporal,81,4,"0xcd2fd81aa323a79da7790213eee48d4057778e47,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1",,40
temporal,82,9,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca",,90
temporal,83,2,"0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xeda87d8816ee3c93201e87589710eddf02e6db20",,20
temporal,84,3,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x06dfd304b86f971372e38b0c9315eac0848dbe9f",,30
temporal,85,4,"0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac",,40
temporal,86,6,"0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0x3b780b9012858d85503232bb4c4379cfd8541c61,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x45559492d0431b6796251844ed36204bd9aa7dd2,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b",,60
temporal,87,6,"0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1",,60
temporal,88,5,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0x193ee9eea53677fd05db368b341ae038479abaf8,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0xd5ffcd736d5831252de512dfb682096971989bd1",,50
temporal,89,20,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x99c47bcdbd65654135580b53df5019886d614557,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,200
temporal,90,3,"0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x8155694421f412f57dd5436b820ffcb10df89102",,30
temporal,91,4,"0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x99c47bcdbd65654135580b53df5019886d614557,0x24b87355015378d5b897033314c506e6447c55fc,0x8155694421f412f57dd5436b820ffcb10df89102",,40
temporal,92,17,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x24b87355015378d5b897033314c506e6447c55fc,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x8155694421f412f57dd5436b820ffcb10df89102,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,170
temporal,93,13,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0x9dea46493922b200d14db1d790683fa95e4f8cd7,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x0043dccaad17a53c9143c55d1e3380c6ff71fb6f,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x8155694421f412f57dd5436b820ffcb10df89102",,130
temporal,94,7,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,70
temporal,95,4,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xaceae6296ce9e4f655487522217a7f6fdc830245,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3",,40
temporal,96,2,"0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351",,20
temporal,97,2,"0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,20
temporal,98,3,"0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x45559492d0431b6796251844ed36204bd9aa7dd2,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac",,30
temporal,99,3,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351",,30
temporal,100,1,0xd5ffcd736d5831252de512dfb682096971989bd1,,10
temporal,101,2,"0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226",,20
temporal,102,2,"0xeddb18cb799fec8087396a8d00cdb6feb1df6d49,0x193ee9eea53677fd05db368b341ae038479abaf8",,20
temporal,103,2,"0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e,0x296e5b916349edb04607df1c73ec2edb9ec6a95d",,20
temporal,104,5,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0xab320674e0293c366dd3e43ab1895f9ef5fd9926,0xcc4b0afcab14e3081b70fc5dd47ed6529e93329d,0xbe118ec6964c4cc7d457b55d7723084e0c7260d7,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,50
temporal,105,4,"0x9dea46493922b200d14db1d790683fa95e4f8cd7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8155694421f412f57dd5436b820ffcb10df89102,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa",,40
temporal,106,4,"0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x99c47bcdbd65654135580b53df5019886d614557,0xc7e696acf931b25893dd90c7cba23a5cbaad6006,0x24b87355015378d5b897033314c506e6447c55fc",,40
temporal,107,6,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1",,60
temporal,108,2,"0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a",,20
temporal,109,2,"0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x9b9097a0a82d223cb62cc458a8697ff138b57dde",,20
temporal,110,2,"0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x296e5b916349edb04607df1c73ec2edb9ec6a95d",,20
temporal,111,3,"0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0x193ee9eea53677fd05db368b341ae038479abaf8,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,30
temporal,112,4,"0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,40
temporal,113,16,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x24b87355015378d5b897033314c506e6447c55fc,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x8155694421f412f57dd5436b820ffcb10df89102,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0xcfa64eab2256602137e9144aca2b6eb0c8584991",,160
temporal,114,12,"0xac2ede8ecfa22a58422149a6cd10ff7b561e0674,0xcfa64eab2256602137e9144aca2b6eb0c8584991,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x24b87355015378d5b897033314c506e6447c55fc",,120
temporal,115,10,"0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8f628207cbeeabcc859f10f76c3ca2cf8de56351,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,100
temporal,116,8,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b",,80
temporal,117,7,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x24b87355015378d5b897033314c506e6447c55fc",,70
temporal,118,7,"0xcf85115c7551aa555afd6bd1ff7f211a2b0301f1,0xaceae6296ce9e4f655487522217a7f6fdc830245,0xe335af250085414f983b793c70aa93b5dfe6107d,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b",,70
temporal,119,10,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c,0x99c47bcdbd65654135580b53df5019886d614557,0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x8155694421f412f57dd5436b820ffcb10df89102,0xe2464094bfb1930c0ca5a3901684f26abe83975e,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x24b87355015378d5b897033314c506e6447c55fc",,100
temporal,120,9,"0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351,0xeda87d8816ee3c93201e87589710eddf02e6db20",,90
temporal,121,4,"0x0b29ded5e84904dc9757a9816b963727bffaefec,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xb9a8eaded121572cd73d0772ac53b23508b27664,0xa7cb6f084b8385d7831971efe24ee5e4439288d6",,40
temporal,122,5,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x338968c09457643223cf53fd6aa5a62e9269219e,0xcd2fd81aa323a79da7790213eee48d4057778e47,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca",,50
temporal,123,5,"0x338968c09457643223cf53fd6aa5a62e9269219e,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xb9a8eaded121572cd73d0772ac53b23508b27664,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac",,50
