address,composite_score,risk_level,confidence,pathway_score,temporal_score,behavioral_score,network_score
0xacf03f0eea7ee21976736e188036ea7ff6500817,94.25,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,75
0x41e5ba7fe8f0cc0ba3803b31c11212c0bf8d7392,94.25,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,75
0x23d362421a19cf862d4c86361bf56580326bf80c,94.25,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,75
0x54728d68d1493cdfb240a2c300f3fc6aa3c9b0a7,94.25,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,75
0x9c18e9f58e929a3bd20ecf581ada45fbee9dfc95,94.25,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,75
0x13937a97ba1a547c98c3800d3f558d1a5e278f99,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x3eb7dd9f9329acecb63105af1b75e3f9aac4b61b,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x46778665812831cc8b259353c6df83b8ee6ecc34,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x2b026752813c7d33252fa69575e24b6e04f8c113,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x172bac1e20c9b2ca1db8ac9f9f6c430e3ccf461f,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x269f604279c2512ed86d7e8af1452a0178adb468,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x8a3689f78d54897f771eea0a96c9a32d69a0a35f,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x411c9ed040a87e2ad734812f2a6bdfc5838ed3c2,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x1ab008a48fcec244c96072e8ba73a36b117747d6,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x17763848c7cbe208cb4b2b1a5b968b347db32a57,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xcde0de04dcde0172977559c983fe26df0cc9e384,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xc9038bf5d730eab25506aa2827cfbbde2be871d5,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x492d3bbc36d537c8d1953f4617e4fb0f1ee78034,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x24dc907755cca4f9a3437e2f9ef3462ea853da4c,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x34b7e7b746d66b3867e4883b6773d64c92df0d6e,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xc4f5d323e849aa966e58d4433eb133b61a65ac92,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x4d0a7273eb4d3fb74b53d315767084ffe41be6ec,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xbde8d71b5d3cfb13a2fe565991d3fb4b460549d4,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xcdfbb164b0c51fd805aded4e73d7b28bc459f20f,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xd956a026736792769287290d440d2e0ac7ccde09,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x4944285754633e64a52f9d1f14fc70f7c7b4ce16,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x496b038bbb3f4301c50a0293c3dc3cabba41ef0f,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xbe8ded56b854bd29c42a3f48123f75236deb453f,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x9593e666e045a8dc39dcbf24475efe03ffede202,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x096da9fd7dc84307c3248458f6063439f52b1715,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x02494db4457b0a5c6ec7051a99076241be2c09e8,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x61094d69cfbb8f3c9249a24c92c1a591bb392aa6,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x35e6cec18c4a4ca9b3f2e49ec9d81ffc9282065c,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xbfa3c3eca6a2612e03b0a4cb380a9317b05c6680,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xa43fc2362d56deadabc046f6f54e6469328f03d8,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x981f840c1cb82022faf2629486213ce8cab0ed89,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xf8e9166a65f610497da07c41fcce11ba668d7294,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xb2bac30c0b4fd47a5457162b71bd327f4ad073f8,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xd327b8ac78edf2f26f5cbf83ff62ca0066d9d410,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0xa8351da78ed1f41d63240405cf8e9b5fb3c5e2cd,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
0x3f6545472b04151ae4075c06da56cd10d62e7edd,92.75,CRITICAL - 極高女巫風險,VERY_HIGH,100,100,90,65
